board,avg_2seg_orient,avg_3seg_orient,seg2_same_orient,seg2_3_same_orient,seg2_dist_to_left,seg2_dist_to_right,seg2_dist_to_upper,seg2_dist_to_bottom,seg3_dist_to_left,seg3_dist_to_right,seg3_dist_to_upper,seg3_dist_to_bottom,avg_spread_2_2,avg_spread_2_3,avg_spread_all,seg2_ships_whole_at_edge,seg3_ships_whole_at_edge,total_ships_whole_at_edge,seg2_ships_touching_edge,seg3_ships_touching_edge,total_ships_touching_edge
002200000000000003000003000003022000,2.0,-1.0,True,False,1.5,2.5,2.5,2.5,5.0,0.0,2.0,1.0,5.0990195135927845,3.9681268560513008,4.345091075231795,2.0,1.0,3.0,0.0,0.0,0.0
000200000200200000200300000300000300,-2.0,-1.0,True,True,1.5,3.5,1.0,3.0,3.0,2.0,3.0,0.0,3.605551275463989,3.4270509831248424,3.4865510805712248,1.0,0.0,1.0,1.0,1.0,2.0
000020000020000000000333000000000022,0.0,1.0,False,False,4.0,0.5,2.5,2.0,3.0,0.0,3.0,2.0,4.527692569068709,2.280776406404416,3.0297484606258465,1.0,0.0,1.0,1.0,1.0,2.0
000002000002022000000030000030000030,0.0,-1.0,False,False,3.0,1.5,1.0,3.5,4.0,1.0,3.0,0.0,3.8078865529319534,3.420808531678341,3.549834538762879,1.0,0.0,1.0,0.0,1.0,1.0
000000200300200300000300000000002200,0.0,-1.0,False,False,1.0,3.5,3.0,1.5,3.0,2.0,1.0,2.0,4.301162633521313,3.0413812651491097,3.4613083879398445,2.0,0.0,2.0,0.0,0.0,0.0
000000000000220000000000000002333002,0.0,1.0,False,False,2.5,2.0,3.0,1.5,0.0,3.0,5.0,0.0,5.1478150704935,3.536255069649192,4.073441736597295,1.0,1.0,2.0,1.0,0.0,1.0
020002020002000000000030000030000030,-2.0,-1.0,True,True,3.0,2.0,0.0,4.0,4.0,1.0,3.0,0.0,4.0,4.124913586643351,4.0832757244289,1.0,0.0,1.0,1.0,1.0,2.0
020000020022000000000000000333000000,0.0,1.0,False,False,2.5,2.0,0.5,4.0,3.0,0.0,4.0,1.0,3.5355339059327378,3.825576746897776,3.7288957999094303,0.0,0.0,0.0,2.0,1.0,3.0
000000022000000000000022000000333000,2.0,1.0,True,True,2.5,1.5,2.0,3.0,0.0,3.0,5.0,0.0,3.605551275463989,4.031128874149275,3.889269674587513,0.0,1.0,1.0,1.0,0.0,1.0
022000000000000000000300000302000302,0.0,-1.0,False,False,3.0,1.5,2.0,2.5,3.0,2.0,3.0,0.0,5.70087712549569,3.166777342733797,4.011477270321095,2.0,0.0,2.0,0.0,1.0,1.0
220300000300000300000000002200000000,2.0,-1.0,True,False,1.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,4.47213595499958,2.8669818343581808,3.4020332079053137,1.0,0.0,1.0,0.0,1.0,1.0
